Fib,StateCode,Lat,Lang,Cases
1001,Alabama,32.54,-86.64,63
1003,Alabama,30.73,-87.72,182
2070,Alaska,59.80,-158.24,2
2068,Alaska,63.67,-150.01,0
2060,Alaska,58.75,-156.70,0
2050,Alaska,60.91,-159.86,35
2020,Alaska,61.15,-149.14,112
2016,Alaska,52.32,-174.16,4
2013,Alaska,55.32,-161.97,4
1133,Alabama,34.15,-87.37,19
1131,Alabama,31.99,-87.31,10
1129,Alabama,31.41,-88.21,12
1127,Alabama,33.80,-87.30,41
1125,Alabama,33.29,-87.53,150
1123,Alabama,32.87,-85.80,27
1121,Alabama,33.38,-86.17,68
1119,Alabama,32.59,-88.20,2
1117,Alabama,33.27,-86.66,188
1115,Alabama,33.72,-86.31,70
1113,Alabama,32.29,-85.18,36
1111,Alabama,33.30,-85.46,10
1109,Alabama,31.80,-85.94,31
1107,Alabama,33.28,-88.09,14
2090,Alaska,64.81,-146.57,44
1105,Alabama,32.64,-87.30,7
2100,Alaska,59.10,-135.47,0
2110,Alaska,58.45,-134.20,3
4005,Arizona,35.84,-111.77,184
4003,Arizona,31.88,-109.75,135
4001,Arizona,35.39,-109.49,76
2290,Alaska,65.51,-151.39,2
2282,Alaska,59.89,-140.36,0
2275,Alaska,56.32,-132.06,0
2261,Alaska,61.48,-144.71,3
2240,Alaska,63.88,-143.21,1
2230,Alaska,59.56,-135.33,0
2220,Alaska,57.24,-135.32,1
2198,Alaska,55.76,-133.05,0
2195,Alaska,57.14,-132.95,0
2188,Alaska,67.05,-159.75,8
2185,Alaska,69.31,-153.48,9
2180,Alaska,64.90,-164.04,1
2170,Alaska,62.31,-149.57,51
2164,Alaska,58.62,-156.21,0
2158,Alaska,62.15,-163.40,15
2150,Alaska,57.66,-153.75,5
2130,Alaska,55.57,-130.98,1
2122,Alaska,60.24,-151.54,13
2105,Alaska,58.29,-135.64,0
1103,Alabama,34.46,-86.85,105
1101,Alabama,32.22,-86.21,193
1099,Alabama,31.57,-87.37,16
1045,Alabama,31.43,-85.61,41
1043,Alabama,34.13,-86.87,62
1041,Alabama,31.73,-86.32,15
1039,Alabama,31.25,-86.45,24
1037,Alabama,32.94,-86.25,5
1035,Alabama,31.43,-86.99,7
1033,Alabama,34.70,-87.80,44
1031,Alabama,31.40,-85.99,54
1029,Alabama,33.68,-85.52,9
1027,Alabama,33.27,-85.86,8
1025,Alabama,31.68,-87.84,29
1023,Alabama,32.02,-88.27,2
1021,Alabama,32.85,-86.72,24
1019,Alabama,34.18,-85.61,12
1017,Alabama,32.91,-85.39,35
1015,Alabama,33.77,-85.83,107
1013,Alabama,31.75,-86.68,11
1011,Alabama,32.10,-85.71,9
1009,Alabama,33.98,-86.57,43
1007,Alabama,33.00,-87.13,21
1005,Alabama,31.87,-85.39,14
1047,Alabama,32.33,-87.11,19
1049,Alabama,34.46,-85.81,51
1051,Alabama,32.60,-86.14,93
1053,Alabama,31.13,-87.16,35
1097,Alabama,30.78,-88.21,294
1095,Alabama,34.37,-86.30,65
1093,Alabama,34.14,-87.89,23
1091,Alabama,32.25,-87.79,14
1089,Alabama,34.76,-86.55,315
1087,Alabama,32.39,-85.69,11
1085,Alabama,32.16,-86.65,10
1083,Alabama,34.81,-86.98,78
1081,Alabama,32.60,-85.35,144
1079,Alabama,34.52,-87.31,25
4007,Arizona,33.80,-110.81,57
1077,Alabama,34.90,-87.66,72
1073,Alabama,33.56,-86.90,638
1071,Alabama,34.78,-86.00,45
1069,Alabama,31.15,-85.30,87
1067,Alabama,31.51,-85.24,18
1065,Alabama,32.76,-87.63,21
1063,Alabama,32.86,-87.96,5
1061,Alabama,31.09,-85.84,22
1059,Alabama,34.44,-87.84,25
1057,Alabama,33.72,-87.74,17
1055,Alabama,34.05,-86.04,109
1075,Alabama,33.78,-88.10,7
4009,Arizona,32.93,-109.89,75
6029,California,35.34,-118.73,1089
5035,Arkansas,35.21,-90.31,48
5037,Arkansas,35.30,-90.77,19
5039,Arkansas,33.97,-92.65,8
5041,Arkansas,33.83,-91.26,8
5043,Arkansas,33.59,-91.72,17
5045,Arkansas,35.15,-92.34,132
5047,Arkansas,35.51,-93.89,17
5049,Arkansas,36.38,-91.82,7
5051,Arkansas,34.58,-93.15,111
5053,Arkansas,34.29,-92.42,13
5055,Arkansas,36.12,-90.56,44
5057,Arkansas,33.73,-93.67,15
5059,Arkansas,34.32,-92.95,31
5061,Arkansas,34.09,-93.99,9
5063,Arkansas,35.74,-91.57,32
5065,Arkansas,36.10,-91.91,11
5067,Arkansas,35.60,-91.21,11
5069,Arkansas,34.27,-91.93,51
5071,Arkansas,35.57,-93.46,28
5073,Arkansas,33.24,-93.61,3
5075,Arkansas,36.04,-91.11,15
5033,Arkansas,35.59,-94.24,74
5077,Arkansas,34.78,-90.78,11
5031,Arkansas,35.83,-90.63,95
5027,Arkansas,33.21,-93.23,14
4013,Arizona,33.35,-112.49,6550
4015,Arizona,35.70,-113.76,262
4017,Arizona,35.40,-110.32,138
4019,Arizona,32.10,-111.79,1371
4021,Arizona,32.91,-111.34,603
4023,Arizona,31.53,-110.85,67
4025,Arizona,34.60,-112.55,225
4027,Arizona,32.77,-113.91,369
5001,Arkansas,34.29,-91.37,18
5003,Arkansas,33.19,-91.77,14
5005,Arkansas,36.29,-92.34,25
5007,Arkansas,36.34,-94.26,337
5009,Arkansas,36.31,-93.09,29
5011,Arkansas,33.47,-92.16,13
5013,Arkansas,33.56,-92.50,3
