Fib,StateCode,Lat,Lang,Cases
1001,Alabama,32.54,-86.64,5
1003,Alabama,30.73,-87.72,15
2070,Alaska,59.80,-158.24,0
2068,Alaska,63.67,-150.01,0
2060,Alaska,58.75,-156.70,0
2050,Alaska,60.91,-159.86,3
2020,Alaska,61.15,-149.14,9
2016,Alaska,52.32,-174.16,0
2013,Alaska,55.32,-161.97,0
1133,Alabama,34.15,-87.37,1
1131,Alabama,31.99,-87.31,0
1129,Alabama,31.41,-88.21,1
1127,Alabama,33.80,-87.30,3
1125,Alabama,33.29,-87.53,12
1123,Alabama,32.87,-85.80,2
1121,Alabama,33.38,-86.17,5
1119,Alabama,32.59,-88.20,0
1117,Alabama,33.27,-86.66,16
1115,Alabama,33.72,-86.31,6
1113,Alabama,32.29,-85.18,3
1111,Alabama,33.30,-85.46,0
1109,Alabama,31.80,-85.94,2
1107,Alabama,33.28,-88.09,1
2090,Alaska,64.81,-146.57,3
1105,Alabama,32.64,-87.30,0
2100,Alaska,59.10,-135.47,0
2110,Alaska,58.45,-134.20,0
4005,Arizona,35.84,-111.77,15
4003,Arizona,31.88,-109.75,11
4001,Arizona,35.39,-109.49,6
2290,Alaska,65.51,-151.39,0
2282,Alaska,59.89,-140.36,0
2275,Alaska,56.32,-132.06,0
2261,Alaska,61.48,-144.71,0
2240,Alaska,63.88,-143.21,0
2230,Alaska,59.56,-135.33,0
2220,Alaska,57.24,-135.32,0
2198,Alaska,55.76,-133.05,0
2195,Alaska,57.14,-132.95,0
2188,Alaska,67.05,-159.75,0
2185,Alaska,69.31,-153.48,0
2180,Alaska,64.90,-164.04,0
2170,Alaska,62.31,-149.57,4
2164,Alaska,58.62,-156.21,0
2158,Alaska,62.15,-163.40,1
2150,Alaska,57.66,-153.75,0
2130,Alaska,55.57,-130.98,0
2122,Alaska,60.24,-151.54,1
2105,Alaska,58.29,-135.64,0
1103,Alabama,34.46,-86.85,8
1101,Alabama,32.22,-86.21,16
1099,Alabama,31.57,-87.37,1
1045,Alabama,31.43,-85.61,3
1043,Alabama,34.13,-86.87,5
1041,Alabama,31.73,-86.32,1
1039,Alabama,31.25,-86.45,2
1037,Alabama,32.94,-86.25,0
1035,Alabama,31.43,-86.99,0
1033,Alabama,34.70,-87.80,3
1031,Alabama,31.40,-85.99,4
1029,Alabama,33.68,-85.52,0
1027,Alabama,33.27,-85.86,0
1025,Alabama,31.68,-87.84,2
1023,Alabama,32.02,-88.27,0
1021,Alabama,32.85,-86.72,2
1019,Alabama,34.18,-85.61,1
1017,Alabama,32.91,-85.39,3
