Fib,StateCode,Status,Country,Lat,Lang,Cases
1001,AL,Alabama,Autauga,32.54,-86.64,63
1003,AL,Alabama,Baldwin,30.73,-87.72,182
2070,AK,Alaska,Dillingham,59.80,-158.24,2
2068,AK,Alaska,Denali,63.67,-150.01,0
2060,AK,Alaska,Bristol Bay,58.75,-156.70,0
2050,AK,Alaska,Bethel,60.91,-159.86,35
2020,AK,Alaska,Anchorage,61.15,-149.14,112
2016,AK,Alaska,Aleutians West,52.32,-174.16,4
2013,AK,Alaska,Aleutians East,55.32,-161.97,4
1133,AL,Alabama,Winston,34.15,-87.37,19
1131,AL,Alabama,Wilcox,31.99,-87.31,10
1129,AL,Alabama,Washington,31.41,-88.21,12
1127,AL,Alabama,Walker,33.80,-87.30,41
1125,AL,Alabama,Tuscaloosa,33.29,-87.53,150
1123,AL,Alabama,Tallapoosa,32.87,-85.80,27
1121,AL,Alabama,Talladega,33.38,-86.17,68
1119,AL,Alabama,Sumter,32.59,-88.20,2
1117,AL,Alabama,Shelby,33.27,-86.66,188
1115,AL,Alabama,St. Clair,33.72,-86.31,70
1113,AL,Alabama,Russell,32.29,-85.18,36
1111,AL,Alabama,Randolph,33.30,-85.46,10
1109,AL,Alabama,Pike,31.80,-85.94,31
1107,AL,Alabama,Pickens,33.28,-88.09,14
2090,AK,Alaska,Fairbanks North Star,64.81,-146.57,44
1105,AL,Alabama,Perry,32.64,-87.30,7
2100,AK,Alaska,Haines,59.10,-135.47,0
2110,AK,Alaska,Juneau,58.45,-134.20,3
4005,AZ,Arizona,Coconino,35.84,-111.77,184
4003,AZ,Arizona,Cochise,31.88,-109.75,135
4001,AZ,Arizona,Apache,35.39,-109.49,76
2290,AK,Alaska,Yukon-Koyukuk,65.51,-151.39,2
2282,AK,Alaska,Yakutat,59.89,-140.36,0
2275,AK,Alaska,Wrangell,56.32,-132.06,0
2261,AK,Alaska,Valdez-Cordova,61.48,-144.71,3
2240,AK,Alaska,Southeast Fairbanks,63.88,-143.21,1
2230,AK,Alaska,Skagway,59.56,-135.33,0
2220,AK,Alaska,Sitka,57.24,-135.32,1
2198,AK,Alaska,Prince of Wales-Hyder,55.76,-133.05,0
2195,AK,Alaska,Petersburg,57.14,-132.95,0
2188,AK,Alaska,Northwest Arctic,67.05,-159.75,8
2185,AK,Alaska,North Slope,69.31,-153.48,9
2180,AK,Alaska,Nome,64.90,-164.04,1
2170,AK,Alaska,Matanuska-Susitna,62.31,-149.57,51
2164,AK,Alaska,Bristol Bay plus Lake and Peninsula,58.62,-156.21,0
2158,AK,Alaska,Kusilvak,62.15,-163.40,15
2150,AK,Alaska,Kodiak Island,57.66,-153.75,5
2130,AK,Alaska,Ketchikan Gateway,55.57,-130.98,1
2122,AK,Alaska,Kenai Peninsula,60.24,-151.54,13
2105,AK,Alaska,Hoonah-Angoon,58.29,-135.64,0
1103,AL,Alabama,Morgan,34.46,-86.85,105
1101,AL,Alabama,Montgomery,32.22,-86.21,193
1099,AL,Alabama,Monroe,31.57,-87.37,16
1045,AL,Alabama,Dale,31.43,-85.61,41
1043,AL,Alabama,Cullman,34.13,-86.87,62
1041,AL,Alabama,Crenshaw,31.73,-86.32,15
1039,AL,Alabama,Covington,31.25,-86.45,24
1037,AL,Alabama,Coosa,32.94,-86.25,5
1035,AL,Alabama,Conecuh,31.43,-86.99,7
1033,AL,Alabama,Colbert,34.70,-87.80,44
1031,AL,Alabama,Coffee,31.40,-85.99,54
1029,AL,Alabama,Cleburne,33.68,-85.52,9
1027,AL,Alabama,Clay,33.27,-85.86,8
1025,AL,Alabama,Clarke,31.68,-87.84,29
1023,AL,Alabama,Choctaw,32.02,-88.27,2
1021,AL,Alabama,Chilton,32.85,-86.72,24
1019,AL,Alabama,Cherokee,34.18,-85.61,12
1017,AL,Alabama,Chambers,32.91,-85.39,35
1015,AL,Alabama,Calhoun,33.77,-85.83,107
1013,AL,Alabama,Butler,31.75,-86.68,11
1011,AL,Alabama,Bullock,32.10,-85.71,9
1009,AL,Alabama,Blount,33.98,-86.57,43
1007,AL,Alabama,Bibb,33.00,-87.13,21
1005,AL,Alabama,Barbour,31.87,-85.39,14
1047,AL,Alabama,Dallas,32.33,-87.11,19
1049,AL,Alabama,DeKalb,34.46,-85.81,51
1051,AL,Alabama,Elmore,32.60,-86.14,93
1053,AL,Alabama,Escambia,31.13,-87.16,35
1097,AL,Alabama,Mobile,30.78,-88.21,294
1095,AL,Alabama,Marshall,34.37,-86.30,65
1093,AL,Alabama,Marion,34.14,-87.89,23
1091,AL,Alabama,Marengo,32.25,-87.79,14
1089,AL,Alabama,Madison,34.76,-86.55,315
1087,AL,Alabama,Macon,32.39,-85.69,11
1085,AL,Alabama,Lowndes,32.16,-86.65,10
1083,AL,Alabama,Limestone,34.81,-86.98,78
1081,AL,Alabama,Lee,32.60,-85.35,144
1079,AL,Alabama,Lawrence,34.52,-87.31,25
4007,AZ,Arizona,Gila,33.80,-110.81,57
1077,AL,Alabama,Lauderdale,34.90,-87.66,72
1073,AL,Alabama,Jefferson,33.56,-86.90,638
